Ludo|Čovječe, ne ljuti se
Main Menu|Glavni izbornik
Play|Igraj
Info|Info
Settings|Postavke
Single Game|Jedna igra
Tournament|Turnir
League|Liga
lang|Jezik
mod|MIOC mod
pp|Raspored igrača
gpm|Broj igara po susretu
pfp|Broj bodova za mjesto (#1 do #4)
hr|Hrvatski
pmm|Procesuiranje više susreta
en|Engleski
Balanced|Uravnotežen
Random|Nasumičan
UserDefined|Fiksan
Off|Isključen
On|Uključen
Save&Exit|Spremi i izađi
importError|Neuspješan import datoteke. Molimo, ažurirajte Python ili kopirajte bota u trenutnu mapu i koristite gornji padajući izbornik.
Progress|Napredak
6s|Šestice
Ate|Pojeo
Eaten|Pojeden
Pcs|Fig
Times|Put(a)
Browse|Traži
BotName|Ime bota
Wins|Pobjede
Pts|Bodovi
AvgPos|Prosj rank
fps|Brzina osvježavanja (fps)
score|Rezultat
criterion|Kriterij
winners|Pobjednici
banner|Čestitke! Pobjednici:
crit|Kriterij
export|Spremi
infoView|Opće informacije:NNN - Ovaj program je napravljen za testiranje i usporedbu botova za igru "Čovječe ne ljuti se" (upute za botove su u podmapi ./res).NNN - Botovi se mogu natjecati na tri načina: Jedna igra, Turnir i Liga. "Jedna igra" prikazuje ploču. U Turniru i Ligi se botovi natječu u susretima (više igara) kako bi smanjili faktor sreće. U Turniru broj igrača mora biti 2^n,'n' je 2, 3, 4 ili 5. Djeluje kao klasično doigravanje u kojemu uvijek prolaze dva najbolja. U Ligi je 16 igrača kako bi svatko mogao igrati sa svakim jednak broj puta.NNN - Relativan položaj igrača može ostati fiksan, biti promijenjen nakon svakih 1/6 susreta ili slučajnim odabirom nakon svake igre.NNN - Igra se može igrati u "MIOC mod" varijanti u kojoj figure u obliku slova moraju tvoriti riječ "MIOC" u kućici.PPPTehnički detalji:NNN - Moguće je u bilo kojem trenutku spremiti podatke o susretu pritiskom CTRL+S.NNN - Koriste se sve jezgre procesora osim jedne zbog bržeg procesiranja.
